Designator,Mid X,Mid Y,Rotation,Layer
_2,100.0,-96.0,0.0,top
,121.0,-54.0,0.0,top
J1,114.8795,-79.0,90.0,top
J2,114.8795,-64.96,90.0,top
J3,114.8795,-92.5,90.0,top
J4,85.1205,-65.0,270.0,top
J5,85.1205,-79.0,270.0,top
J6,85.1205,-92.5,270.0,top
J7,100.0,-60.0,180.0,top
