Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"J1, J2, J3, J4, J5, J6, J7",MX2EDGR-5.08-GN01-02P-Cu-A,7,TB_1x2_5.08mm_RA,C5187973
